"painel","categoria","tecnologia","secao","gene"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","STAT6"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SUZ12"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TACC3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TAF15"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TCF12"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TERT"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TFE3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TFEB"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TFG"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","THADA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TMPRSS2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","TPM3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","USP6"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","WT1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","WWTR1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","YAP1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","YWHAE"
